"","County","Year","Lag_Ae.sierrensis","Lag_Ae.albopictus","Lag_Ae.aegypti","Lag_Ae.vexans","Lag_An.freeborni","Lag_Cs.incidencs","Lag_Cs.inornata","Lag_Cx.quinquefasciatus","Lag_Cx.tarsalis","Region","TotalPositive","TotalTested","PerPos","Lagged_Income","Lagged_PopDensity","Lagged_DogDensity","Lagged_HDU","Lagged_HDUday","Lagged_TotalPrecip","Bioregion"
"1","Alameda",2012,1.666666667,NA,NA,NA,2,2.473684211,11.44444444,NA,52.32352941,"Central",41,15836,0.258903764,72.399,2071.603518,485.7421299,265.1086857,137.776176,433.5784889,"BayDelta"
"2","Alameda",2013,1,NA,NA,NA,NA,1,NA,NA,17.5952381,"Central",66,16491,0.400218301,77.214,2102.522327,483.4390068,203.5091972,140.2412747,596.8612295,"BayDelta"
"3","Alameda",2014,1.5,NA,NA,NA,NA,1.222222222,NA,NA,24.76923077,"Central",81,21045,0.384889522,81.717,2137.473613,488.3991962,271.064049,161.6373293,566.8637126,"BayDelta"
"4","Alameda",2015,1,NA,NA,NA,1,2.5,1.625,NA,14.22058824,"Central",77,23926,0.321825629,89.979,2175.631935,492.191207,243.6432036,144.6084977,326.5471482,"BayDelta"
"5","Alameda",2017,1.833333333,NA,NA,NA,4.333333333,4.972631579,2.253731343,NA,12.7872,"Central",74,22025,0.335981839,102.125,2234.032476,498.3287145,270.5509145,159.2268589,469.3865963,"BayDelta"
"6","Alameda",2018,5.148148148,NA,NA,NA,2.5,4.980327869,3.882075472,NA,11.43669986,"Central",71,27461,0.258548487,108.322,2246.543978,503.5406522,178.1196593,156.8080425,641.3653245,"BayDelta"
"7","Alameda",2019,2.692307692,NA,NA,NA,4.111111111,4.855102041,1.8,NA,11.08689655,"Central",86,33791,0.254505638,NA,2255.420839,511.0814696,153.9877831,143.8740516,407.1943035,"BayDelta"
"8","Alameda",2020,NA,NA,NA,2,5.766666667,3.9,7.035714286,NA,14.37008872,"Central",81,38583,0.209937019,NA,2261.608931,517.5853829,235.5138652,162.7959029,535.0315427,"BayDelta"
"9","Alameda",2021,2.714285714,NA,NA,NA,2.04,3.551155116,2.333333333,NA,14.62425447,"Central",17,10669,0.159340144,NA,2249.422192,NA,NA,NA,NA,"BayDelta"
"10","Butte",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",93,3580,2.597765363,42.752,131.1717352,35.11223256,498.9209229,129.921875,754.7741507,"SacramentoValley"
"11","Butte",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",95,4105,2.314250914,42.365,131.7048301,35.14847943,303.9699366,134.359375,1047.199002,"SacramentoValley"
"12","Butte",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",114,4568,2.495621716,45.644,132.1651759,35.4618867,501.4209941,136.859375,917.051408,"SacramentoValley"
"13","Butte",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",127,4979,2.550712995,45.177,133.2832439,35.69437925,482.3097502,134.9609375,517.9891612,"SacramentoValley"
"14","Butte",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",110,5774,1.905091791,49.061,133.9481216,35.89538462,461.8972635,142.0546875,593.4126948,"SacramentoValley"
"15","Butte",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",110,7240,1.519337017,51.652,134.9022063,36.04147048,470.3368056,139.53125,693.5097046,"SacramentoValley"
"16","Butte",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",116,8313,1.395404788,62.563,136.372093,36.39515206,293.3732036,134.46875,1093.159289,"SacramentoValley"
"17","Butte",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",154,10476,1.470026728,NA,137.3518187,36.62691234,272.3307124,134.9609375,714.822423,"SacramentoValley"
"18","Butte",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NorCal",120,10760,1.115241636,NA,130.7012522,31.56479905,460.1130569,131.90625,986.7372138,"SacramentoValley"
"19","Butte",2021,NA,NA,NA,88.5,43.4,3,NA,NA,3.846153846,"NorCal",15,2650,0.566037736,NA,126.8598688,NA,NA,NA,NA,"SacramentoValley"
"20","Calaveras",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central",10,1358,0.736377025,NA,43.54869817,16.47379171,347.5082476,136,565.3308178,"Sierra"
"21","Calaveras",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central",17,1455,1.16838488,NA,43.21600771,16.49984378,268.7200985,143,854.483704,"Sierra"
"22","Calaveras",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central",11,1603,0.68621335,NA,43.06171649,16.55135583,421.8375015,156,791.0301738,"Sierra"
