County,Year,Lag_Ae.sierrensis,Lag_Ae.albopictus,Lag_Ae.aegypti,Lag_Ae.vexans,Lag_An.freeborni,Lag_Cs.incidencs,Lag_Cs.inornata,Lag_Cx.quinquefasciatus,Lag_Cx.tarsalis,Region,TotalPositive,TotalTested,PerPos
Kern,2015,1.1,NA,NA,NA,7,2.666666667,2,35.76691042,48.96313103,SoCal,9,1537,0.585556278
Kern,2016,1,NA,NA,NA,5.571428571,2.460829493,1.807017544,40.31278935,18.71127633,SoCal,9,1838,0.489662677
Kern,2017,1.25,NA,NA,NA,2.254901961,3.57591623,2.333333333,30.33805855,48.62734584,SoCal,9,1866,0.482315113
Kern,2018,2.230769231,NA,1,NA,16.91017964,3.685185185,2.824242424,26.11481481,75.20625567,SoCal,21,1907,1.101206083
Kern,2019,1.6,NA,3,NA,4.666666667,2.54368932,1.833333333,34.03848642,68.82700422,SoCal,13,3230,0.40247678
Kern,2020,1.555555556,NA,3.802158273,NA,21.78947368,2.283464567,3.269230769,45.8454488,71.1257384,SoCal,16,5198,0.307810696
Kern,2021,1,NA,5.501477833,NA,4.355140187,2.564935065,1.222222222,36.72914184,58.49142857,SoCal,3,1514,0.198150594
Kings,2012,4.3,NA,NA,24.5,21.34931507,2.611111111,2.538461538,NA,68.96981132,SoCal,2,701,0.285306705
Kings,2013,1.333333333,NA,NA,1.444444444,12.28057554,1.666666667,1.4,NA,44.60676157,SoCal,4,923,0.433369447
Kings,2014,1.25,NA,NA,4,4.347826087,4.481481481,1.181818182,NA,23.88045541,SoCal,2,853,0.234466589
Kings,2015,1,NA,NA,1.333333333,NA,1.916666667,1.833333333,NA,20.9423676,SoCal,2,769,0.260078023
Kings,2016,1.5,NA,NA,2,1,2.857142857,2.272727273,NA,24.26415094,SoCal,3,815,0.36809816
Kings,2017,1,NA,NA,NA,1.615384615,5.7,2.363636364,NA,23.57079646,SoCal,3,766,0.391644909
Kings,2018,2.666666667,NA,1.42,1,4.408450704,1.736842105,3.666666667,NA,58.36286408,SoCal,2,734,0.272479564
Kings,2019,1,NA,4.924242424,NA,17.73913043,NA,1,NA,16.68010753,SoCal,1,589,0.169779287
Kings,2020,NA,NA,6.944262295,NA,21.71794872,NA,2.157894737,NA,42.39229422,SoCal,6,648,0.925925926
Kings,2021,NA,NA,11.50810811,NA,7.304347826,NA,1.964285714,NA,34.35509138,SoCal,2,149,1.342281879
Lake,2012,5.470479705,NA,NA,30.95744681,10.34954955,1.243781095,NA,NA,24.53661784,NorCal,53,1592,3.329145729
Lake,2013,6.146478873,NA,NA,3.138888889,14.59192825,1.662650602,NA,NA,38.99445676,NorCal,48,1948,2.464065708
Lake,2014,6.814910026,NA,NA,5.28125,19.68087855,2.407608696,NA,NA,22.03178928,NorCal,42,1865,2.252010724
Lake,2015,11.53240741,NA,NA,9.631578947,21.22916667,3.83974359,NA,NA,24.2265322,NorCal,44,2299,1.913875598
Lake,2016,4.798969072,NA,NA,24.02941176,13.55607477,3.008746356,NA,NA,18.95672192,NorCal,82,2201,3.725579282
Lake,2017,10.40239044,NA,NA,2.384615385,11.04231312,3.74047619,NA,NA,23.55364807,NorCal,89,2423,3.67313248
Lake,2018,13.96544276,NA,NA,2.571428571,14.14115899,2.842342342,NA,NA,39.8374269,NorCal,67,2526,2.652414885
Lake,2019,12.8125,NA,NA,6.4,16.5641791,2.675496689,NA,NA,27.50280374,NorCal,67,2576,2.600931677
Lake,2020,12.85459184,NA,NA,7.222222222,18.96774194,3.520547945,NA,NA,40.81740614,NorCal,120,3131,3.832641329
Lake,2021,9.555555556,NA,NA,2.2,15.92695214,5.96,NA,NA,25.70038168,NorCal,33,926,3.563714903
LosAngeles,2012,1.769230769,NA,NA,NA,2,10.21466525,3.014492754,24.42589591,4.760330579,SoCal,168,52983,0.317082838
LosAngeles,2013,2,NA,NA,NA,4,6.256025466,1.659574468,23.60520892,5.29324547,SoCal,169,52322,0.322999885
LosAngeles,2014,1,NA,NA,NA,6.75,6.025873808,2.102189781,25.17702725,4.420221169,SoCal,253,57127,0.442872897
LosAngeles,2015,2.076923077,2.2,1,NA,38.37142857,5.079415792,2.58974359,21.92103854,3.037483266,SoCal,236,64246,0.367338044
LosAngeles,2016,1.411764706,3.181818182,2.25,1.25,10.93103448,5.936653772,3.923611111,21.93800539,5.341127923,SoCal,269,69123,0.38916135
LosAngeles,2017,1.285714286,3.416666667,1.518518519,1,1.333333333,4.939052977,1.487804878,20.41835397,5.70295858,SoCal,330,76160,0.433298319
LosAngeles,2018,4,1.383333333,1.530726257,1,NA,5.283520133,1.555555556,26.65097073,5.088068182,SoCal,350,80028,0.437346929
LosAngeles,2019,1,3.585185185,2.670613563,NA,13.75,3.618005739,2.125,26.05987776,4.190965092,SoCal,227,102535,0.221387819
LosAngeles,2020,1.25,3.226552984,3.009195402,NA,1,4.398284314,1.567164179,26.66559543,3.66256336,SoCal,228,139894,0.162980542
LosAngeles,2021,1.125,2.986363636,4.259124088,1,2,4.587419355,4.678571429,29.78585859,3.185673893,SoCal,69,38652,0.178515989
Madera,2012,16.5,NA,NA,21.14285714,3.666666667,5.8,NA,24.6,54.17857143,Central,17,277,6.137184116
Madera,2013,2,NA,NA,2.25,1.333333333,NA,7,30.65413534,71.69369369,Central,12,318,3.773584906
Madera,2014,NA,NA,2.5,2,3.166666667,3.583333333,8.5,14.87978142,17.58024691,Central,10,460,2.173913043
Madera,2015,NA,NA,6.101694915,4,5.25,2.5,5.666666667,23.21632653,20.48169014,Central,28,739,3.788903924
Madera,2016,NA,NA,1.674418605,2.333333333,2.833333333,NA,1,29.59883721,11.80334728,Central,11,708,1.553672316
Madera,2017,1,NA,7.491071429,1,1.75,NA,2,43.84366197,17.95918367,Central,21,741,2.834008097
Madera,2018,1,NA,11.02564103,NA,4.558823529,3.5,NA,34.9536903,25.95414847,Central,15,639,2.34741784
Madera,2019,NA,NA,8.524271845,NA,4.962962963,NA,NA,64.10158014,59.06060606,Central,13,672,1.93452381
Madera,2020,NA,NA,4.696202532,NA,3.714285714,NA,NA,39.70197044,38.80609418,Central,14,658,2.127659574
Madera,2021,NA,NA,2.260869565,NA,2.818181818,2,NA,24.27568922,86.66323907,Central,3,129,2.325581395
Marin,2012,5,NA,NA,NA,1,2.083333333,2.48,NA,8.388297872,Central,30,9146,0.328012246
Marin,2013,2,NA,NA,NA,2.285714286,1.944444444,1.884615385,NA,3.358490566,Central,29,11326,0.256048031
Marin,2014,1.909090909,NA,NA,NA,1.333333333,3.74796748,3.871794872,NA,5.172661871,Central,40,12131,0.32973374
Marin,2015,2.058823529,NA,NA,NA,2,2.320261438,5.683333333,NA,6.846153846,Central,49,12721,0.385189844
Marin,2016,1.461538462,NA,NA,NA,1,2.571428571,1.5,NA,2.372727273,Central,35,11053,0.316656111
Marin,2017,1.363636364,NA,NA,NA,1,1.894736842,5.705882353,NA,6.977099237,Central,44,11553,0.380853458
Marin,2018,3.166666667,NA,NA,NA,1,2.324074074,2.5,NA,3.905172414,Central,28,12096,0.231481481
Marin,2019,1.181818182,NA,NA,NA,1,2.287356322,3.434210526,NA,4.822429907,Central,29,12491,0.23216716
Marin,2020,3.642857143,NA,NA,NA,1,2.574712644,2.230769231,NA,8.786585366,Central,31,14099,0.21987375
Marin,2021,NA,NA,NA,NA,NA,1.85,NA,NA,NA,Central,11,3619,0.303951368
Merced,2012,2.5,NA,NA,NA,NA,NA,NA,NA,32.5,Central,6,1306,0.45941807
Merced,2014,NA,NA,NA,1,3.714285714,1,NA,NA,9.696428571,Central,13,1094,1.188299817
Merced,2015,3,NA,NA,4,1,7,NA,NA,4.418604651,Central,11,1322,0.832072617
Merced,2016,NA,NA,NA,27.2,34,7,8.5,NA,13.39583333,Central,6,1559,0.384862091
Merced,2017,NA,NA,NA,29.625,1.777777778,14.14285714,1.8,NA,33.66129032,Central,4,1399,0.285918513
Merced,2018,NA,NA,2.882352941,2.8,3.3,6.888888889,1.75,NA,20.40243902,Central,7,1607,0.435594275
Merced,2019,NA,NA,5.597701149,7.869565217,7.826086957,2.325581395,1.666666667,NA,10.38963532,Central,2,1923,0.10400416
Merced,2020,1,NA,6.16509434,6.555555556,16.3125,2.125,2.094890511,NA,13.71032357,Central,3,2048,0.146484375
Merced,2021,NA,NA,3.616161616,3.538461538,11.59375,2.173913043,1.272727273,NA,17.61705989,Central,0,519,0
Monterey,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,19,4476,0.424486148
Monterey,2013,NA,NA,NA,NA,NA,5,2,NA,1,SoCal,33,5234,0.630492931
Monterey,2014,1,NA,NA,NA,NA,6.789473684,1.5,3,4.727272727,SoCal,31,7140,0.434173669
Monterey,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,21,7473,0.281011642
Monterey,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,28,7865,0.356007629
Monterey,2018,2,NA,NA,NA,NA,4.819672131,3,NA,89.79310345,SoCal,34,7033,0.483435234
Monterey,2019,2,NA,NA,NA,NA,13.58227848,1.8,NA,4,SoCal,24,9844,0.243803332
Monterey,2020,4,NA,NA,NA,NA,10.69491525,2.076923077,NA,5.666666667,SoCal,23,12508,0.183882315
Monterey,2021,2.571428571,NA,NA,NA,1,6.719512195,2.615384615,NA,5.956521739,SoCal,6,2543,0.235941801
Napa,2013,12.66666667,NA,NA,NA,1.75,7.409090909,7,NA,23.9047619,NorCal,19,5099,0.372622083
Napa,2014,NA,NA,NA,NA,1,4.8,NA,NA,17.94117647,NorCal,14,5495,0.25477707
Napa,2016,2.75,NA,NA,NA,7,5.272727273,NA,NA,10.83333333,NorCal,37,6156,0.601039636
Napa,2017,4.076923077,NA,NA,NA,1.857142857,4.416666667,4.2,NA,27.2,NorCal,34,6469,0.525583552
Napa,2018,17.8,NA,NA,NA,2,6.166666667,1.5,NA,172.5333333,NorCal,33,7221,0.457000415
Napa,2019,11.88888889,NA,NA,NA,1.888888889,2.208333333,4.176470588,NA,18.225,NorCal,34,6453,0.526886719
Napa,2020,9.705882353,NA,NA,NA,2.222222222,2.676470588,3.866666667,NA,52.08737864,NorCal,46,6838,0.672711319
Napa,2021,7.444444444,NA,NA,NA,1.181818182,7.584269663,10.171875,NA,31.60869565,NorCal,8,1649,0.485142511
Nevada,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,48,2244,2.139037433
Nevada,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,63,2170,2.903225806
Nevada,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,44,2340,1.88034188
Nevada,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,67,2403,2.78818144
Nevada,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,66,2807,2.351264695
Nevada,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,88,4694,1.874733703
Nevada,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,122,6095,2.001640689
Nevada,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,121,6596,1.834445118
Nevada,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,149,6527,2.282825188
Nevada,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,47,1881,2.49867092
Orange,2012,1,NA,NA,NA,NA,3.01320132,2.223880597,16.50040486,5.780534351,SoCal,80,46424,0.17232466
Orange,2013,1,NA,NA,NA,NA,3.376068376,1.285714286,18.1799507,5.568493151,SoCal,129,36886,0.349726183
Orange,2014,3,NA,NA,NA,NA,3.447963801,1.75,21.04258443,11.4278481,SoCal,174,38353,0.453680286
Orange,2015,1,NA,NA,NA,NA,2.192411924,1.86440678,30.04179255,9.956666667,SoCal,119,40844,0.291352463
Orange,2016,1,NA,2.166666667,NA,NA,2.75,1.596153846,48.67601136,3.531190926,SoCal,134,43108,0.310847175
Orange,2017,3.166666667,4.210526316,2.260869565,1,NA,2.632369942,2.1875,34.96066253,3.96875,SoCal,128,42439,0.301609369
Orange,2018,NA,1.777777778,1.721461187,NA,NA,3.775100402,2.46875,28.31311967,7.785485592,SoCal,162,42069,0.385081652
Orange,2019,NA,4.888888889,3.57718894,2.25,NA,2.205555556,1.756410256,29.40684492,7.500582072,SoCal,111,53154,0.208827181
Orange,2020,1.125,1.6,2.792402827,1.285714286,NA,3.282066869,2.429577465,22.69989744,5.49349523,SoCal,114,70166,0.162471852
Orange,2021,1.090909091,1,2.804347826,NA,NA,3.055248619,1.6,34.80870237,6.385749386,SoCal,40,19687,0.203179763
Placer,2012,4.408450704,NA,NA,8.157894737,13.61555556,4.834834835,NA,NA,30.77777778,NorCal,144,12905,1.115846571
Placer,2013,4.272058824,NA,NA,14.60869565,10.22554348,6.241486068,NA,NA,37.57639939,NorCal,127,17210,0.737943056
Placer,2014,5.149700599,NA,NA,26.89285714,17.73596674,4.565217391,NA,NA,31.44397163,NorCal,176,17481,1.006807391
Placer,2015,3.674285714,NA,NA,8,8.404109589,4.650485437,NA,NA,21.08615819,NorCal,156,18945,0.823436263
Placer,2016,2.978947368,NA,NA,44,15.36345382,4.88125,NA,NA,22.39255014,NorCal,138,19493,0.707946442
Placer,2017,5.241134752,NA,NA,13.75,22.40169133,3.779126214,NA,NA,41.33367662,NorCal,165,21125,0.781065089
Placer,2018,4.95112782,NA,NA,4.526315789,12.89945652,4.123134328,NA,NA,31.0075662,NorCal,215,24721,0.869705918
Placer,2019,4.552036199,NA,NA,11.95,12.38256659,4.517027864,NA,NA,47.68625147,NorCal,187,29203,0.64034517
Placer,2020,5.836734694,NA,1,5.80952381,17.25697504,3.903954802,NA,NA,40.66157462,NorCal,233,33040,0.705205811
Placer,2021,5.5,NA,NA,40.01923077,39.28163993,3.982608696,NA,NA,44.93540052,NorCal,32,9682,0.330510225
Riverside,2012,NA,NA,NA,43.73487032,NA,2.08988764,7.176842105,15.30254777,97.15170604,SoCal,58,11724,0.494711702
Riverside,2013,NA,NA,NA,60.84892086,NA,2.41025641,8.749360614,22.40106773,176.6343476,SoCal,44,12233,0.359682825
Riverside,2014,1,NA,NA,22.27034884,NA,2.565789474,7.364321608,22.0788872,100.6090487,SoCal,46,11438,0.402168211
Riverside,2015,NA,NA,NA,16.40712468,NA,8.857923497,9.353741497,13.20979021,98.57390015,SoCal,88,12829,0.685945904
Riverside,2016,1.416666667,NA,1.714285714,13.82072368,NA,8.5,5.643122677,15.59732792,58.80551053,SoCal,71,13786,0.515015233
Riverside,2017,1,NA,2.404494382,12.96256684,NA,6.224817518,4.389189189,12.60760999,69.56607098,SoCal,53,12892,0.411107664
Riverside,2018,2.214285714,NA,2.840764331,5.636094675,NA,5.648550725,5.136363636,13.92090095,66.69623529,SoCal,58,13675,0.424131627
Riverside,2019,1,NA,3.165873555,9.165354331,2.2,3.700665188,4.57218543,10.05366277,63.24166892,SoCal,40,20790,0.192400192
Riverside,2020,2,NA,3.782745098,18.23513514,3,4.81270183,5.710045662,14.01742372,98.87300797,SoCal,43,27638,0.155582893
Riverside,2021,1,NA,3.509492274,13.29777778,1,6.180285344,5.42384106,12.41820475,133.7116385,SoCal,18,7940,0.226700252
Sacramento,2012,3.504761905,NA,NA,13.46835443,5.078692494,6.415322581,2.128205128,NA,17.34673367,NorCal,233,29242,0.796799125
Sacramento,2013,2.472,NA,NA,20.78947368,8.677484787,8.253004005,1.933333333,NA,20.03582853,NorCal,234,30349,0.771030347
Sacramento,2014,2.939393939,NA,NA,24.62222222,11.04494382,8.375210793,4.72,NA,33.38592751,NorCal,263,31650,0.830963665
Sacramento,2015,4.248175182,NA,NA,18.67010309,7.956175299,11.0088,2.363636364,NA,26.54226268,NorCal,248,35222,0.704105389
Sacramento,2016,3.85106383,NA,NA,5.12195122,9.373173971,12.73735581,1.681818182,NA,34.79877634,NorCal,234,37713,0.620475698
Sacramento,2017,4.038095238,NA,NA,11.0620155,4.549248748,12.88472834,2.206896552,NA,23.46326754,NorCal,304,44013,0.690705019
Sacramento,2018,7.259036145,NA,NA,12.25675676,4.137704918,12.35044825,1.592592593,NA,22.828125,NorCal,271,45984,0.589335421
Sacramento,2019,2.614678899,NA,NA,4.206349206,6.797814208,11.31139241,1.636363636,NA,21.99755202,NorCal,288,58210,0.49476035
Sacramento,2021,2.042553191,NA,NA,9.821428571,10.47800587,8.180147059,1.25,NA,22.2062982,NorCal,59,19635,0.30048383
SanBenito,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,3,441,0.680272109
SanBenito,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,1,202,0.495049505
SanBenito,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,1,259,0.386100386
SanBenito,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,0,104,0
SanBenito,2016,NA,NA,NA,NA,1,3.555555556,1.2,NA,3.046511628,SoCal,0,238,0
SanBenito,2017,2.666666667,NA,NA,NA,1.5,3.428571429,1.466666667,NA,3.411290323,SoCal,2,315,0.634920635
SanBenito,2018,1,NA,NA,NA,1.721311475,5.293478261,2.150943396,NA,4.163865546,SoCal,0,408,0
SanBenito,2019,2,NA,NA,NA,3.302631579,2.980519481,1.720930233,NA,4.51396648,SoCal,0,500,0
SanBenito,2020,2,NA,NA,NA,1.553191489,4.125603865,1.538461538,NA,4.100917431,SoCal,0,634,0
SanBenito,2021,2,NA,NA,NA,1.538461538,4.048,1.272727273,NA,5.77027027,SoCal,1,151,0.662251656
SanBernardino,2012,2.625,NA,NA,5.6,2.090909091,4.069587629,2.648351648,17.21057835,13.73386384,SoCal,23,5779,0.397992732
